dg,cc_mean,cc_lower,cc_upper,n_samples
1277.0,0.4021229896808316,0.3912144218189371,0.4130018260319927,200
1279.0,0.4021229896808316,0.3915100914954926,0.41320605991711296,200
1280.0,0.4022844016280423,0.3913409328408327,0.412849633801697,202
1288.0,0.4030232458765799,0.39252996631553866,0.41361538212981697,203
1291.0,0.4029590460576771,0.39245379900950783,0.4137008280276357,205
1292.0,0.4029590460576771,0.3924281252559035,0.4140402780612288,205
1294.0,0.40294949137972236,0.3922409149396342,0.41360274938890623,203
1296.0,0.4041039954485465,0.3933322906355931,0.4149470329546291,204
1302.0,0.4031703519993567,0.3924775695247085,0.41403799670472663,204
1303.0,0.4038973709536742,0.39306712129394944,0.41463949582963794,203
1304.0,0.4044523947072128,0.39350546806680353,0.41530441080748765,202
1305.0,0.4048134336206747,0.39383073143739444,0.4156187527675642,201
1307.0,0.4050514171312385,0.3942651185623751,0.416220191513621,200
1311.0,0.4050514171312385,0.39410468578972346,0.416139996492613,200
1313.0,0.40444221322106905,0.3938481190037093,0.41539803417322524,200
1314.0,0.40444221322106905,0.39364746194813865,0.41554218682483707,200
1321.0,0.4053987756074702,0.39481634880508765,0.41656485729898873,200
1322.0,0.40550586844174236,0.39466142673189264,0.4164526473725356,199
1323.0,0.40523480666925127,0.3946850483363407,0.41607817519085843,200
1325.0,0.4044133105508348,0.39352425750528625,0.4156802568473292,199
1331.0,0.4042818788024267,0.39306288017528695,0.4156560938417235,199
1332.0,0.4042818788024267,0.39309819515583094,0.4153400393450192,199
1334.0,0.40427309596349564,0.3928019346417141,0.41564039465859576,198
1336.0,0.40427309596349564,0.39323135113721375,0.41573597019971253,198
1341.0,0.4040845145617637,0.39301439722370435,0.4155193441741665,198
1344.0,0.4035795633433081,0.392470325601143,0.4148290927913839,202
1345.0,0.40344640247609237,0.3927794504328813,0.4146438701708979,203
1347.0,0.4035594395674465,0.3926172307986244,0.41506003595153035,202
1348.0,0.40380589370646575,0.3928068065648712,0.41491419457637385,203
1349.0,0.40371756194085306,0.3925997819447379,0.4148648188070545,204
1351.0,0.40299207637066936,0.391912132610149,0.4143555543206243,202
1352.0,0.40313474716594855,0.3921332647500378,0.4143783308301808,204
1354.0,0.4027859142089494,0.3920173388015293,0.414165102220312,205
1355.0,0.4027859142089494,0.3917690136340241,0.4138654677172491,205
1356.0,0.40229719773463957,0.391429009476714,0.4130461643848526,206
1357.0,0.40185104006876604,0.3910080456344548,0.4126795473657265,206
1365.0,0.40238965514105246,0.3915910760883943,0.41381552476112776,207
1366.0,0.40106545104789654,0.39011025846959085,0.4121033871145789,205
1375.0,0.4005702356447035,0.38979525114037156,0.4116303105359853,207
1376.0,0.4010525656717918,0.38998351713556995,0.41185945896097087,208
1384.0,0.40143935697041055,0.3901673567439,0.412412223288599,206
1385.0,0.4004469281042207,0.38934922817338585,0.4118428712071432,205
1388.0,0.4004469281042207,0.389216007802815,0.411595008153449,205
1392.0,0.3998508639409026,0.38857532118775995,0.41137496813009533,205
1400.0,0.39751899837673593,0.38647912145375807,0.4087253548550359,205
1401.0,0.39751899837673593,0.38630729175449563,0.4089094737850229,205
1402.0,0.398003456193932,0.3868205364237415,0.40935056284743393,206
1403.0,0.3986176069854021,0.38718790587079754,0.4097876841002373,204
1404.0,0.39885191623526495,0.3876392923155167,0.409951247968273,205
1410.0,0.39657644512329476,0.38535774403512335,0.407738746392182,208
1412.0,0.39633767346010856,0.3852430438215201,0.4074042884465055,207
1418.0,0.3978777390965278,0.38663175535094296,0.40899169050808787,204
1421.0,0.397269506190219,0.3859871082091047,0.408772472024077,202
1426.0,0.3962378980319936,0.3851208754790443,0.4075150057621839,203
1427.0,0.3962378980319936,0.38522641250393025,0.4071369831168839,203
1429.0,0.3962378980319936,0.38523286835007187,0.407540337917576,203
1431.0,0.39638499709026326,0.3854906381074693,0.40777403712735727,204
1443.0,0.39717767917706537,0.38610409206143886,0.4080768992354668,200
1444.0,0.39717767917706537,0.38638949063729644,0.4081858672578574,200
1447.0,0.39733020686422527,0.38602574734764117,0.40857050964932096,201
1448.0,0.39733020686422527,0.38645717517790573,0.40845786852543153,201
1451.0,0.39753296000233873,0.38646116415061915,0.4087310704175385,202
1457.0,0.3976547584961208,0.38635188604963755,0.40848178254629786,200
1460.0,0.3982404301442465,0.3874577630571801,0.4092575490880549,201
1461.0,0.3982404301442465,0.3872481826766082,0.4092210219664065,201
1462.0,0.397642659005631,0.38678918608610574,0.40871134387618174,201
1464.0,0.397642659005631,0.3866283443791838,0.40859304573025024,201
1468.0,0.397952721832096,0.3868898078215294,0.4094327536166452,198
1469.0,0.39815338361511027,0.3870223002474721,0.40891401152562673,198
1472.0,0.398089181662358,0.387205098253811,0.40921137919569583,198
1482.0,0.3992996218657126,0.38832848294194205,0.4103871935950803,197
1483.0,0.3992996218657126,0.38835459428846714,0.4102897999318197,197
1492.0,0.39965547975898474,0.38888519140653655,0.41054363060114196,200
1493.0,0.40063215308550537,0.3896877730088934,0.4117114283650494,200
1495.0,0.40063215308550537,0.38962421090756616,0.41163129938296067,200
1499.0,0.4010502574282415,0.3900878278661257,0.41203094359689824,201
1502.0,0.3997559154665165,0.3889326463065492,0.4104632443484858,200
1505.0,0.3994994271736886,0.38828317739612256,0.4103384471391461,198
1508.0,0.3994994271736886,0.38856448518520614,0.4102391253741827,198
1509.0,0.3994994271736886,0.38855408710763745,0.41028758724640785,198
1511.0,0.39937146651637245,0.3883288966411648,0.4101196878915388,197
1513.0,0.39937146651637245,0.38854925456975486,0.4102936001087255,197
1517.0,0.3990102436286982,0.38811299416884687,0.40986793167661756,197
1519.0,0.39931380275213896,0.3883617686893774,0.41044644783795436,196
1522.0,0.3988241109297919,0.3878406360413154,0.40992099167456797,195
1523.0,0.3988241109297919,0.387977218184668,0.40979862365412,195
1527.0,0.39859468297203454,0.38766162691087314,0.4096615526832667,195
1528.0,0.3986775773272898,0.38766740704106656,0.40949802940362323,196
1529.0,0.3995876487349876,0.3886835735421934,0.4105607629347386,198
1530.0,0.3995876487349876,0.3887444882188783,0.410304936568239,198
1532.0,0.39905846179673055,0.38828887650733973,0.4101383645744072,196
